1A02: [['Q13469', 'P01100'], ['Q13469', 'P05412'], ['P01100', 'P05412']]
5FO9: [['P01024', 'P01024'], ['P01024', 'P17927'], ['P01024', 'P17927']]
5FOA: [['P01024', 'P01024'], ['P01024', 'P08174'], ['P01024', 'P08174']]
5FQD: [['Q16531', 'Q96SW2'], ['Q16531', 'P48729'], ['Q96SW2', 'P48729']]
5FU6: [['A5YKK6', 'Q9NZN8'], ['A5YKK6', 'O75175'], ['Q9NZN8', 'O75175']]
5FU7: [['A5YKK6', 'Q9NZN8'], ['A5YKK6', 'O75175'], ['Q9NZN8', 'O75175']]
5FUG: [['P0C0S5', 'P06899'], ['P0C0S5', 'Q15906'], ['P06899', 'Q15906']]
5FWK: [['P08238', 'Q16543'], ['P08238', 'P11802'], ['Q16543', 'P11802']]
5FWL: [['P08238', 'Q16543'], ['P08238', 'P11802'], ['Q16543', 'P11802']]
5FWM: [['P08238', 'Q16543'], ['P08238', 'P11802'], ['Q16543', 'P11802']]
5FWP: [['P08238', 'Q16543'], ['P08238', 'P11802'], ['Q16543', 'P11802']]
5FWW: [['O75581', 'Q96MU8'], ['O75581', 'O94907'], ['Q96MU8', 'O94907']]
5GJE: [['O75581', 'O75581'], ['O75581', 'O94907'], ['O75581', 'O94907']]
5H43: [['P52292', 'Q9H7Z6'], ['P52292', 'Q9H7Z6'], ['Q9H7Z6', 'Q9H7Z6']]
5H64: [['P42345', 'Q8N122'], ['P42345', 'Q9BVC4'], ['Q8N122', 'Q9BVC4']]
5H6Q: [['O60341', 'Q9UKL0'], ['O60341', 'P68431'], ['Q9UKL0', 'P68431']]
5H6R: [['O60341', 'Q9UKL0'], ['O60341', 'P68431'], ['Q9UKL0', 'P68431']]
5H7S: [['P0CG47', 'Q8TBB1'], ['P0CG47', 'P61088'], ['Q8TBB1', 'P61088']]
5HE1: [['P25098', 'P62873'], ['P25098', 'P59768'], ['P62873', 'P59768']]
5HPT: [['Q9H0M0', 'P62987'], ['Q9H0M0', 'P68036'], ['P62987', 'P68036']]
5HQ0: [['P06493', 'P14635'], ['P06493', 'P33552'], ['P14635', 'P33552']]
5HU6: [['P69905', 'P68871'], ['P69905', 'P00738'], ['P68871', 'P00738']]
5HVK: [['P53667', 'P23528'], ['P53667', 'P23528'], ['P23528', 'P23528']]
5HXB: [['P15170', 'Q16531'], ['P15170', 'Q96SW2'], ['Q16531', 'Q96SW2']]
5IB1: [['P01889', 'P61769'], ['P01889', 'P32241'], ['P61769', 'P32241']]
5IB2: [['P01889', 'P61769'], ['P01889', 'P32241'], ['P61769', 'P32241']]
5IB3: [['P01889', 'P61769'], ['P01889', 'P32241'], ['P61769', 'P32241']]
5IB4: [['P01889', 'P61769'], ['P01889', 'P32241'], ['P61769', 'P32241']]
5IB5: [['P01889', 'P61769'], ['P01889', 'P32241'], ['P61769', 'P32241']]
5IBK: [['P63208', 'Q969H0'], ['P63208', 'P0CG47'], ['Q969H0', 'P0CG47']]
5IEH: [['P01889', 'P61769'], ['P01889', 'Q9NQS7'], ['P61769', 'Q9NQS7']]
5IEK: [['P01889', 'P61769'], ['P01889', 'Q9NQS7'], ['P61769', 'Q9NQS7']]
5IGQ: [['Q8NHY2', 'Q96RU8'], ['Q8NHY2', 'Q96RU8'], ['Q96RU8', 'Q96RU8']]
5ISO: [['P54646', 'Q9Y478'], ['P54646', 'P54619'], ['Q9Y478', 'P54619']]
5J11: [['Q969D9', 'P16871'], ['Q969D9', 'Q9HC73'], ['P16871', 'Q9HC73']]
5JBT: [['P35030', 'Q06481'], ['P35030', 'Q06481'], ['Q06481', 'Q06481']]
5JI0: [['P19793', 'P37231'], ['P19793', 'Q15788'], ['P37231', 'Q15788']]
5JJM: [['P10275', 'P10275'], ['P10275', 'Q8TBC4'], ['P10275', 'Q8TBC4']]
5JK7: [['Q9Y4B6', 'Q16531'], ['Q9Y4B6', 'P13051'], ['Q16531', 'P13051']]
5JLZ: [['P01903', 'P01911'], ['P01903', 'P06733'], ['P01911', 'P06733']]
5JMM: [['P03372', 'P03372'], ['P03372', 'Q15788'], ['P03372', 'Q15788']]
5JPN: [['P0C0L4', 'P0C0L4'], ['P0C0L4', 'P0C0L4'], ['P0C0L4', 'P0C0L4']]
5JTW: [['P0C0L4', 'P0C0L4'], ['P0C0L4', 'P0C0L4'], ['P0C0L4', 'P0C0L4']]
5K1C: [['O75317', 'Q8TAF3'], ['O75317', 'Q8TBZ3'], ['Q8TAF3', 'Q8TBZ3']]
5KDM: [['P84243', 'P62805'], ['P84243', 'Q9UER7'], ['P62805', 'Q9UER7']]
5KNM: [['P30511', 'P61769'], ['P30511', 'Q8NHL6'], ['P61769', 'Q8NHL6']]
5KSU: [['P01909', 'Q5Y7D3'], ['P01909', 'P04233'], ['Q5Y7D3', 'P04233']]
5KSV: [['P01909', 'Q5Y7D3'], ['P01909', 'P04233'], ['Q5Y7D3', 'P04233']]
5KYU: [['Q15436', 'O94855'], ['Q15436', 'Q5JRA6'], ['O94855', 'Q5JRA6']]
5KYW: [['Q15436', 'O94855'], ['Q15436', 'Q5JRA6'], ['O94855', 'Q5JRA6']]
5KZ5: [['Q9Y697', 'Q16595'], ['Q9Y697', 'Q9H1K1'], ['Q16595', 'Q9H1K1']]
5L1Z: [['P50750', 'O60563'], ['P50750', 'Q9UHB7'], ['O60563', 'Q9UHB7']]
5L8W: [['O75317', 'Q8TAF3'], ['O75317', 'P0CG47'], ['Q8TAF3', 'P0CG47']]
5LAX: [['P01903', 'P01911'], ['P01903', 'P06733'], ['P01911', 'P06733']]
5LLI: [['Q15370', 'Q15369'], ['Q15370', 'P40337'], ['Q15369', 'P40337']]
5LMK: [['P24941', 'P20248'], ['P24941', 'P24941'], ['P20248', 'P24941']]
5LQF: [['P06493', 'P14635'], ['P06493', 'P33552'], ['P14635', 'P33552']]
5LRV: [['Q6GQQ9', 'P0CG47'], ['Q6GQQ9', 'P0CG47'], ['P0CG47', 'P0CG47']]
5LRX: [['P21580', 'P0CG47'], ['P21580', 'P21580'], ['P0CG47', 'P21580']]
5M35: [['P63104', 'P30307'], ['P63104', 'P30307'], ['P30307', 'P30307']]
5M5E: [['P14784', 'P31785'], ['P14784', 'P60568'], ['P31785', 'P60568']]
5MEO: [['P04439', 'P61769'], ['P04439', 'O14746'], ['P61769', 'O14746']]
5MEP: [['P04439', 'P61769'], ['P04439', 'O14746'], ['P61769', 'O14746']]
5MEQ: [['P04439', 'P61769'], ['P04439', 'O14746'], ['P61769', 'O14746']]
5MER: [['P04439', 'P61769'], ['P04439', 'O14746'], ['P61769', 'O14746']]
5MZV: [['P29460', 'Q9NPF7'], ['P29460', 'Q5VWK5'], ['Q9NPF7', 'Q5VWK5']]
5N10: [['P03372', 'P31946'], ['P03372', 'P31946'], ['P31946', 'P31946']]
5N1X: [['P41182', 'P41182'], ['P41182', 'P41182'], ['P41182', 'P41182']]
5N9G: [['Q9HAW0', 'P20226'], ['Q9HAW0', 'A6H8Y1'], ['P20226', 'A6H8Y1']]
5NAN: [['Q16552', 'Q96F46'], ['Q16552', 'Q96PD4'], ['Q96F46', 'Q96PD4']]
5NI9: [['P01903', 'P01911'], ['P01903', 'P06733'], ['P01911', 'P06733']]
5NIG: [['P01903', 'P01911'], ['P01903', 'P06733'], ['P01911', 'P06733']]
5NVV: [['Q15370', 'Q15369'], ['Q15370', 'P40337'], ['Q15369', 'P40337']]
5NVW: [['Q15370', 'Q15369'], ['Q15370', 'P40337'], ['Q15369', 'P40337']]
5NVX: [['Q15370', 'Q15369'], ['Q15370', 'P40337'], ['Q15369', 'P40337']]
5NVY: [['Q15370', 'Q15369'], ['Q15370', 'P40337'], ['Q15369', 'P40337']]
5NVZ: [['Q15370', 'Q15369'], ['Q15370', 'P40337'], ['Q15369', 'P40337']]
5NW0: [['Q15370', 'Q15369'], ['Q15370', 'P40337'], ['Q15369', 'P40337']]
5NW1: [['Q15370', 'Q15369'], ['Q15370', 'P40337'], ['Q15369', 'P40337']]
5NW2: [['Q15370', 'Q15369'], ['Q15370', 'P40337'], ['Q15369', 'P40337']]
5O35: [['P01024', 'P01024'], ['P01024', 'P08603'], ['P01024', 'P08603']]
5OO6: [['Q09161', 'P52298'], ['Q09161', 'Q9BXP5'], ['P52298', 'Q9BXP5']]
5OOB: [['Q09161', 'P52298'], ['Q09161', 'L9KL62'], ['P52298', 'L9KL62']]
5SVE: [['Q08209', 'P63098'], ['Q08209', 'O95644'], ['P63098', 'O95644']]
5T5W: [['Q08334', 'Q8IU57'], ['Q08334', 'Q8IZI9'], ['Q8IU57', 'Q8IZI9']]
5T6Z: [['P01889', 'P61769'], ['P01889', 'P43629'], ['P61769', 'P43629']]
5T70: [['P01889', 'P61769'], ['P01889', 'P43629'], ['P61769', 'P43629']]
5TBY: [['P12883', 'P08590'], ['P12883', 'P10916'], ['P08590', 'P10916']]
5TUV: [['Q14186', 'Q15329'], ['Q14186', 'P28749'], ['Q15329', 'P28749']]
5U98: [['P61769', 'O00267'], ['P61769', 'P01889'], ['O00267', 'P01889']]
5UAN: [['P19793', 'P10826'], ['P19793', 'Q15596'], ['P10826', 'Q15596']]
5UDH: [['Q9Y4X5', 'P68036'], ['Q9Y4X5', 'P0CG48'], ['P68036', 'P0CG48']]
5UJ7: [['Q13415', 'O43929'], ['Q13415', 'O43913'], ['O43929', 'O43913']]
5UKK: [['P25098', 'P62873'], ['P25098', 'P59768'], ['P62873', 'P59768']]
5UKL: [['P25098', 'P62873'], ['P25098', 'P59768'], ['P62873', 'P59768']]
5ULH: [['P62837', 'P0CG47'], ['P62837', 'Q6ZSG1'], ['P0CG47', 'Q6ZSG1']]
5ULK: [['P62837', 'P0CG47'], ['P62837', 'Q6ZSG1'], ['P0CG47', 'Q6ZSG1']]
5UPK: [['O96013', 'O96013'], ['O96013', 'P60953'], ['O96013', 'P60953']]
5UQ3: [['P24941', 'Q5MJ70'], ['P24941', 'P46527'], ['Q5MJ70', 'P46527']]
5UTZ: [['Q6GMX6', 'Q6IPQ0'], ['Q6GMX6', 'P60568'], ['Q6IPQ0', 'P60568']]
5V1Y: [['Q16186', 'P0CG47'], ['Q16186', 'Q99460'], ['P0CG47', 'Q99460']]
5V1Z: [['Q16186', 'P0CG47'], ['Q16186', 'Q99460'], ['P0CG47', 'Q99460']]
5V4B: [['P63208', 'Q969H0'], ['P63208', 'Q9NRI5'], ['Q969H0', 'Q9NRI5']]
5VEB: [['S6B291', 'P01834'], ['S6B291', 'P55285'], ['P01834', 'P55285']]
5VGE: [['P10321', 'P61769'], ['P10321', 'P68431'], ['P61769', 'P68431']]
5VL7: [['Q8NBP7', 'Q8NBP7'], ['Q8NBP7', 'Q7Z3Y4'], ['Q8NBP7', 'Q7Z3Y4']]
5VZ5: [['P01889', 'P61769'], ['P01889', 'Q9UM73'], ['P61769', 'Q9UM73']]
5VZU: [['P63208', 'Q5XUX0'], ['P63208', 'P24385'], ['Q5XUX0', 'P24385']]
5VZW: [['P62837', 'P0CG47'], ['P62837', 'P36406'], ['P0CG47', 'P36406']]
5VZY: [['P0DOX5', 'Q0KKI6'], ['P0DOX5', 'P05067'], ['Q0KKI6', 'P05067']]
5W1W: [['P13747', 'P61769'], ['P13747', 'P04439'], ['P61769', 'P04439']]
5W21: [['Q9UEF7', 'Q9GZV9'], ['Q9UEF7', 'P11362'], ['Q9GZV9', 'P11362']]
5WAI: [['Q09028', 'Q15022'], ['Q09028', 'Q6ZN18'], ['Q15022', 'Q6ZN18']]
5WBU: [['P42345', 'Q9BVC4'], ['P42345', 'Q96B36'], ['Q9BVC4', 'Q96B36']]
5WBY: [['P42345', 'Q9BVC4'], ['P42345', 'Q96B36'], ['Q9BVC4', 'Q96B36']]
5WKO: [['Q6N089', 'Q6P5S8'], ['Q6N089', ' Q9UL78'], ['Q6P5S8', ' Q9UL78']]
5WKP: [['Q9Y697', 'Q9HD34'], ['Q9Y697', 'Q9H1K1'], ['Q9HD34', 'Q9H1K1']]
5WLW: [['Q9Y697', 'Q9HD34'], ['Q9Y697', 'Q9H1K1'], ['Q9HD34', 'Q9H1K1']]
5WVE: [['O14727', 'O14727'], ['O14727', 'P55211'], ['O14727', 'P55211']]
5WVO: [['P62979', 'P26358'], ['P62979', 'P68431'], ['P26358', 'P68431']]
5X60: [['O60341', 'Q9UKL0'], ['O60341', 'P68431'], ['Q9UKL0', 'P68431']]
5XAU: [['O15230', 'P07942'], ['O15230', 'P11047'], ['P07942', 'P11047']]
5XYF: [['Q9BSI4', 'Q15554'], ['Q9BSI4', 'Q96AP0'], ['Q15554', 'Q96AP0']]
5Y3R: [['P12956', 'P13010'], ['P12956', 'P78527'], ['P13010', 'P78527']]
5YBV: [['Q63ZY3', 'Q63ZY3'], ['Q63ZY3', 'Q7Z4S6'], ['Q63ZY3', 'Q7Z4S6']]
5YDK: [['Q8IYW5', 'P62979'], ['Q8IYW5', 'P62979'], ['P62979', 'P62979']]
5YMY: [['P0CG47', 'P0CG47'], ['P0CG47', 'Q16186'], ['P0CG47', 'Q16186']]
5ZBU: [['P62837', 'O43567'], ['P62837', 'P0CG47'], ['O43567', 'P0CG47']]
6A5Y: [['Q96RI1', 'Q15788'], ['Q96RI1', 'P19793'], ['Q15788', 'P19793']]
6A5Z: [['Q96RI1', 'P19793'], ['Q96RI1', 'Q15788'], ['P19793', 'Q15788']]
6A60: [['Q96RI1', 'Q15788'], ['Q96RI1', 'P19793'], ['Q15788', 'P19793']]
6A6I: [['Q59FF6', 'P0CG47'], ['Q59FF6', 'P0CG47'], ['P0CG47', 'P0CG47']]
6AL5: [['P15391', 'A8K008'], ['P15391', 'Q6P5S8'], ['A8K008', 'Q6P5S8']]
6ARU: [['P00533', 'Q8TCD0'], ['P00533', 'P0DOX5'], ['Q8TCD0', 'P0DOX5']]
6AT5: [['P01889', 'P61769'], ['P01889', 'P78358'], ['P61769', 'P78358']]
6AT9: [['Q9UM73', 'P04439'], ['Q9UM73', 'P61769'], ['P04439', 'P61769']]
6ATH: [['P24941', 'P46527'], ['P24941', 'P20248'], ['P46527', 'P20248']]
6ATI: [['P01903', 'A0A0A1I7H6'], ['P01903', 'P08670'], ['A0A0A1I7H6', 'P08670']]
6ATZ: [['P01903', 'A0A0A1I7H6'], ['P01903', 'P02675'], ['A0A0A1I7H6', 'P02675']]
6B1U: [['P54646', 'Q9Y478'], ['P54646', 'P54619'], ['Q9Y478', 'P54619']]
6B2E: [['P54646', 'O43741'], ['P54646', 'P54619'], ['O43741', 'P54619']]
6B4I: [['Q53GS7', 'O15504'], ['Q53GS7', 'Q9UMR2'], ['O15504', 'Q9UMR2']]
6B4J: [['Q53GS7', 'O15504'], ['Q53GS7', 'Q9UMR2'], ['O15504', 'Q9UMR2']]
6BFT: [['P0DOX5', 'P15692'], ['P0DOX5', 'Q8TCD0'], ['P15692', 'Q8TCD0']]
6BGT: [['P04626', 'Q7Z3Y4'], ['P04626', 'P0DOX5'], ['Q7Z3Y4', 'P0DOX5']]
6BIJ: [['P01903', 'P01911'], ['P01903', 'P02675'], ['P01911', 'P02675']]
6BIL: [['P01903', 'P01911'], ['P01903', 'P02675'], ['P01911', 'P02675']]
6BIN: [['P01903', 'P02458'], ['P01903', 'P01911'], ['P02458', 'P01911']]
6BIR: [['P01903', 'P01911'], ['P01903', 'P08670'], ['P01911', 'P08670']]
6BIV: [['P01903', 'P01911'], ['P01903', 'P49913'], ['P01911', 'P49913']]
6BIX: [['P01903', 'P01911'], ['P01903', 'P49913'], ['P01911', 'P49913']]
6BIY: [['P01903', 'P01911'], ['P01903', 'Q96A08'], ['P01911', 'Q96A08']]
6BIZ: [['P01903', 'P01911'], ['P01903', 'Q8N257'], ['P01911', 'Q8N257']]
6BN7: [['Q16531', 'Q96SW2'], ['Q16531', 'O60885'], ['Q96SW2', 'O60885']]
6BN8: [['Q16531', 'Q96SW2-2'], ['Q16531', 'O60885'], ['Q96SW2-2', 'O60885']]
6BN9: [['Q16531', 'Q96SW2'], ['Q16531', 'O60885'], ['Q96SW2', 'O60885']]
6BNB: [['O60885', 'Q16531'], ['O60885', 'Q96SW2'], ['Q16531', 'Q96SW2']]
6BOY: [['Q16531', 'Q96SW2'], ['Q16531', 'O60885'], ['Q96SW2', 'O60885']]
6BQN: [['P37088', 'P51168'], ['P37088', 'P51170'], ['P51168', 'P51170']]
6BVA: [['P63208', 'Q8NHM5'], ['P63208', 'P0CG47'], ['Q8NHM5', 'P0CG47']]
6BVI: [['P01112', 'Q07889'], ['P01112', 'P01112'], ['Q07889', 'P01112']]
6BVJ: [['P01112', 'Q07889'], ['P01112', 'P01112'], ['Q07889', 'P01112']]
6BVK: [['P01112', 'Q07889'], ['P01112', 'P01112'], ['Q07889', 'P01112']]
6BVL: [['P01112', 'Q07889'], ['P01112', 'P01112'], ['Q07889', 'P01112']]
6BVM: [['P01112', 'Q07889'], ['P01112', 'P01112'], ['Q07889', 'P01112']]
6BYH: [['P63208', 'Q9Y2K7'], ['P63208', 'P0CG47'], ['Q9Y2K7', 'P0CG47']]
6C16: [['P63208', 'Q9Y2K7'], ['P63208', 'P0CG47'], ['Q9Y2K7', 'P0CG47']]
6C48: [['Q5TKA1', 'P10244'], ['Q5TKA1', 'Q52LA3'], ['P10244', 'Q52LA3']]
6C5X: [['Q15370', 'Q15369'], ['Q15370', 'Q00560'], ['Q15369', 'Q00560']]
6C95: [['Q9BXJ9', 'P41227'], ['Q9BXJ9', 'Q9NX55'], ['P41227', 'Q9NX55']]
6C9F: [['Q13131', 'Q9Y478'], ['Q13131', 'P54619'], ['Q9Y478', 'P54619']]
6C9G: [['Q13131', 'Q9Y478'], ['Q13131', 'P54619'], ['Q9Y478', 'P54619']]
6C9H: [['P54619', 'Q13131'], ['P54619', 'Q9Y478'], ['Q13131', 'Q9Y478']]
6C9J: [['Q9Y478', 'P54619'], ['Q9Y478', 'Q13131'], ['P54619', 'Q13131']]
6CE7: [['P01308', 'P06213'], ['P01308', 'P06213'], ['P06213', 'P06213']]
6CE9: [['P06213', 'P06213'], ['P06213', 'P01308'], ['P06213', 'P01308']]
6CEB: [['P06213', 'P06213'], ['P06213', 'P01308'], ['P06213', 'P01308']]
6CET: [['Q8WTW4', 'Q12980'], ['Q8WTW4', 'O75140'], ['Q12980', 'O75140']]
6CM9: [['Q10567', 'P84077'], ['Q10567', 'Q96PC3'], ['P84077', 'Q96PC3']]
6CRI: [['Q10567', 'P84077'], ['Q10567', 'Q96PC3'], ['P84077', 'Q96PC3']]
6CRK: [['P63096', 'P62873'], ['P63096', 'P59768'], ['P62873', 'P59768']]
6CUO: [['P01112', 'Q07889'], ['P01112', 'P01112'], ['Q07889', 'P01112']]
6CUP: [['P01112', 'Q07889'], ['P01112', 'P01112'], ['Q07889', 'P01112']]
6CUR: [['P01112', 'Q07889'], ['P01112', 'P01112'], ['Q07889', 'P01112']]
6CXI: [['P63261', 'Q14896'], ['P63261', 'Q14896'], ['Q14896', 'Q14896']]
6CXJ: [['P63261', 'Q14896'], ['P63261', 'Q14896'], ['Q14896', 'Q14896']]
6CYT: [['P50750', 'O60563'], ['P50750', 'Q9UHB7'], ['O60563', 'Q9UHB7']]
6D0Y: [['Q09161', 'P52298'], ['Q09161', 'Q86YN6'], ['P52298', 'Q86YN6']]
6D55: [['P01112', 'Q07889'], ['P01112', 'P01112'], ['Q07889', 'P01112']]
6D56: [['P01112', 'Q07889'], ['P01112', 'P01112'], ['Q07889', 'P01112']]
6D59: [['P01112', 'Q07889'], ['P01112', 'P01112'], ['Q07889', 'P01112']]
6D5E: [['P01112', 'Q07889'], ['P01112', 'P01112'], ['Q07889', 'P01112']]
6D5G: [['P01112', 'Q07889'], ['P01112', 'P01112'], ['Q07889', 'P01112']]
6D5H: [['P01112', 'Q07889'], ['P01112', 'P01112'], ['Q07889', 'P01112']]
6D5J: [['P01112', 'Q07889'], ['P01112', 'P01112'], ['Q07889', 'P01112']]
6D5L: [['P01112', 'Q07889'], ['P01112', 'P01112'], ['Q07889', 'P01112']]
6D5M: [['P01112', 'P01112'], ['P01112', 'Q07889'], ['P01112', 'Q07889']]
6D5V: [['P01112', 'P01112'], ['P01112', 'Q07889'], ['P01112', 'Q07889']]
6D5W: [['P01112', 'P01112'], ['P01112', 'Q07889'], ['P01112', 'Q07889']]
6D6I: [['P61088', 'Q13404'], ['P61088', 'Q96H31'], ['Q13404', 'Q96H31']]
6D6T: [['P47870', 'P14867'], ['P47870', 'P18507'], ['P14867', 'P18507']]
6D6U: [['P47870', 'P14867'], ['P47870', 'P18507'], ['P14867', 'P18507']]
6D7G: [['P61769', ' P04439'], ['P61769', 'Q6PJ56'], [' P04439', 'Q6PJ56']]
6D83: [['Q10567', 'Q96PC3'], ['Q10567', 'P84077'], ['Q96PC3', 'P84077']]
6D84: [['P84077', 'Q96PC3'], ['P84077', 'Q10567'], ['Q96PC3', 'Q10567']]
6DCW: [['P01834', 'P01857'], ['P01834', 'A0A2K5IAM2'], ['P01857', 'A0A2K5IAM2']]
6DDE: [['P63096', 'P62873'], ['P63096', 'P59768'], ['P62873', 'P59768']]
6DDF: [['P63096', 'P62873'], ['P63096', 'P59768'], ['P62873', 'P59768']]
6DE7: [['P01857', 'P01857'], ['P01857', 'P0DOY2'], ['P01857', 'P0DOY2']]
6DF3: [['Q8N6P7', 'Q13007'], ['Q8N6P7', 'Q6UXL0'], ['Q13007', 'Q6UXL0']]
6DFF: [['P84077', 'Q96PC3'], ['P84077', 'Q10567'], ['Q96PC3', 'Q10567']]
6DKJ: [['P0DOX5', 'V9HW34'], ['P0DOX5', 'P48546'], ['V9HW34', 'P48546']]
6DNH: [['Q10570', 'Q9C0J8'], ['Q10570', 'O95639'], ['Q9C0J8', 'O95639']]
6E3K: [['P01579', 'P15260'], ['P01579', 'P38484'], ['P15260', 'P38484']]
6E3L: [['P01579', 'P15260'], ['P01579', 'P38484'], ['P15260', 'P38484']]
6EG8: [['P62873', 'P59768'], ['P62873', 'P63092'], ['P59768', 'P63092']]
6EHT: [['P12004', 'P12004'], ['P12004', 'Q15004'], ['P12004', 'Q15004']]
6EI2: [['P04439', 'P61769'], ['P04439', 'P30279'], ['P61769', 'P30279']]
6ERF: [['P12956', 'P13010'], ['P12956', 'Q8IW19'], ['P13010', 'Q8IW19']]
6ERG: [['P12956', 'P13010'], ['P12956', 'Q9H9Q4'], ['P13010', 'Q9H9Q4']]
6ERH: [['P12956', 'P13010'], ['P12956', 'Q9H9Q4'], ['P13010', 'Q9H9Q4']]
6ERP: [['Q00059', 'O00411'], ['Q00059', 'Q9H5Q4'], ['O00411', 'Q9H5Q4']]
6ERQ: [['Q00059', 'O00411'], ['Q00059', 'Q9H5Q4'], ['O00411', 'Q9H5Q4']]
6EWA: [['P04439', 'P61769'], ['P04439', 'Q8NHL6'], ['P61769', 'Q8NHL6']]
6F3T: [['Q15542', 'P49848'], ['Q15542', 'Q16594'], ['P49848', 'Q16594']]
6FA1: [['P01116', 'P01116'], ['P01116', 'P01116'], ['P01116', 'P01116']]
6FA2: [['P01116', 'P01116'], ['P01116', 'P01116'], ['P01116', 'P01116']]
6FAU: [['P31947', 'P10636'], ['P31947', 'P10636'], ['P10636', 'P10636']]
6FAV: [['P31947', 'P10636'], ['P31947', 'P10636'], ['P10636', 'P10636']]
6FAW: [['P31947', 'P10636'], ['P31947', 'P10636'], ['P10636', 'P10636']]
6FBY: [['P31947', 'P10636'], ['P31947', 'P10636'], ['P10636', 'P10636']]
6FIB: [['P41273', 'P41273'], ['P41273', 'P41273'], ['P41273', 'P41273']]
6FMI: [['Q15370', 'Q15369'], ['Q15370', 'P40337'], ['Q15369', 'P40337']]
6FMJ: [['Q15370', 'Q15369'], ['Q15370', 'P40337'], ['Q15369', 'P40337']]
6FMK: [['Q15370', 'Q15369'], ['Q15370', 'P40337'], ['Q15369', 'P40337']]
6FO1: [['Q9Y265', 'Q9Y230'], ['Q9Y265', 'Q9H6T3'], ['Q9Y230', 'Q9H6T3']]
6FUW: [['Q10570', 'Q9C0J8'], ['Q10570', 'O95639'], ['Q9C0J8', 'O95639']]
6GAW: [['1390216722', '1388777935'], ['1390216722', 'P46199'], ['1388777935', 'P46199']]
6GAZ: [['P46199', '1208989970'], ['P46199', '1208989970'], ['1208989970', '1208989970']]
6GDG: [['P62873', 'P59768'], ['P62873', 'P63092'], ['P59768', 'P63092']]
6GFF: [['P01137', 'P01137'], ['P01137', 'Q14392'], ['P01137', 'Q14392']]
6GFY: [['Q15370', 'Q15369'], ['Q15370', 'P40337'], ['Q15369', 'P40337']]
6GFZ: [['Q15369', 'Q15370'], ['Q15369', 'P40337'], ['Q15370', 'P40337']]
6GHD: [['P50402', 'O75531'], ['P50402', 'P02545'], ['O75531', 'P02545']]
6GL7: [['Q99748', 'O00451'], ['Q99748', 'P07949'], ['O00451', 'P07949']]
6GU2: [['P06493', 'P14635'], ['P06493', 'K9J4F7'], ['P14635', 'K9J4F7']]
6GU3: [['P14635', 'P06493'], ['P14635', 'K9J4F7'], ['P06493', 'K9J4F7']]
6GU4: [['P06493', 'P14635'], ['P06493', 'K9J4F7'], ['P14635', 'K9J4F7']]
6GWJ: [['Q14657', 'Q9BXV9'], ['Q14657', 'Q9NPF4'], ['Q9BXV9', 'Q9NPF4']]
6H0F: [['Q16531', 'Q96SW2'], ['Q16531', 'Q13422'], ['Q96SW2', 'Q13422']]
6H0G: [['Q16531', 'Q96SW2'], ['Q16531', 'Q9BU19'], ['Q96SW2', 'Q9BU19']]
6H6A: [['Q13432', 'P06239'], ['Q13432', 'Q13432'], ['P06239', 'Q13432']]
6HPR: [['Q13490', 'P0CG47'], ['Q13490', 'P62837'], ['P0CG47', 'P62837']]
6I4X: [['Q15370', 'O14508'], ['Q15370', 'Q15369'], ['O14508', 'Q15369']]
6I53: [['P28472', 'P14867'], ['P28472', 'P18507'], ['P14867', 'P18507']]
6I5N: [['O14508', 'Q15370'], ['O14508', 'Q15369'], ['Q15370', 'Q15369']]
6I7Q: [['Q15370', 'Q99814'], ['Q15370', 'P40337'], ['Q99814', 'P40337']]
6IC5: [['P53634', 'P53634'], ['P53634', 'P53634'], ['P53634', 'P53634']]
6IC6: [['P53634', 'P53634'], ['P53634', 'P53634'], ['P53634', 'P53634']]
6IC7: [['P53634', 'P53634'], ['P53634', 'P53634'], ['P53634', 'P53634']]
6ISU: [['P15374', 'P0CG47'], ['P15374', 'P0CG47'], ['P0CG47', 'P0CG47']]
6IY1: [['P62491', 'P62491'], ['P62491', 'P62491'], ['P62491', 'P62491']]
6IY6: [['P14868', 'Q13155'], ['P14868', 'P07814'], ['Q13155', 'P07814']]
6J4V: [['P68363', 'Q86V25'], ['P68363', 'Q8N300'], ['Q86V25', 'Q8N300']]
6J74: [['Q7Z6K3', 'P53611'], ['Q7Z6K3', 'O15498'], ['P53611', 'O15498']]
6J7F: [['Q7Z6K3', 'P53611'], ['Q7Z6K3', 'O15498'], ['P53611', 'O15498']]
6J7X: [['Q7Z6K3', 'P53611'], ['Q7Z6K3', 'O15498'], ['P53611', 'O15498']]
6J8F: [['Q7L8A9', 'Q8N300'], ['Q7L8A9', 'Q71U36'], ['Q8N300', 'Q71U36']]
6J8G: [['O60939', 'Q15858'], ['O60939', 'Q07699'], ['Q15858', 'Q07699']]
6J8H: [['O60939', 'Q15858'], ['O60939', 'Q07699'], ['Q15858', 'Q07699']]
6J8I: [['O60939', 'Q15858'], ['O60939', 'Q07699'], ['Q15858', 'Q07699']]
6J8J: [['O60939', 'Q15858'], ['O60939', 'Q07699'], ['Q15858', 'Q07699']]
6J8O: [['Q7L8A9', 'P68363'], ['Q7L8A9', 'Q8N300'], ['P68363', 'Q8N300']]
6JTN: [['C1K0Y1', 'P01116'], ['C1K0Y1', 'P61769'], ['P01116', 'P61769']]
